2019-10-17 19:45:54 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  8,29; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 939.0; Tile: ROAD
2019-10-17 19:45:55 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  9,29; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 938.0; Tile: ROAD
2019-10-17 19:45:55 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 10,29; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 937.0; Tile: ROAD
2019-10-17 19:45:55 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 10,30; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 936.0; Tile: ROAD
2019-10-17 19:45:55 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 11,30; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 935.0; Tile: ROAD
2019-10-17 19:45:55 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 12,30; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 934.0; Tile: ROAD
2019-10-17 19:45:55 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 13,30; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 933.0; Tile: ROAD
2019-10-17 19:45:55 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 13,29; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 932.0; Tile: ROAD
2019-10-17 19:45:55 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 14,29; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 931.0; Tile: ROAD
2019-10-17 19:45:55 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 14,28; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 930.0; Tile: ROAD
2019-10-17 19:45:55 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 14,27; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 929.0; Tile: ROAD
2019-10-17 19:45:55 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 14,26; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 928.0; Tile: ROAD
2019-10-17 19:45:55 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 14,25; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 927.0; Tile: ROAD
2019-10-17 19:45:55 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 13,25; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 926.0; Tile: ROAD
2019-10-17 19:45:55 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 12,25; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 925.0; Tile: ROAD
2019-10-17 19:45:55 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 11,25; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 924.0; Tile: ROAD
2019-10-17 19:45:55 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 10,25; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 923.0; Tile: ROAD
2019-10-17 19:45:56 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  9,25; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 922.0; Tile: ROAD
